client_id,age,job,marital,education,credit_default,mortgage
0,56,basic_4y,married,basic_4y,False,False
1,57,high_school,married,high_school,False,False
2,37,high_school,married,high_school,False,True
3,40,basic_6y,married,basic_6y,False,False
4,56,high_school,married,high_school,False,False
5,45,basic_9y,married,basic_9y,False,False
6,59,professional_course,married,professional_course,False,False
7,41,,married,,False,False
8,24,professional_course,single,professional_course,False,True
9,25,high_school,single,high_school,False,True
10,41,,married,,False,False
11,25,high_school,single,high_school,False,True
12,29,high_school,single,high_school,False,False
13,57,basic_4y,divorced,basic_4y,False,True
14,35,basic_6y,married,basic_6y,False,True
15,54,basic_9y,married,basic_9y,False,True
16,35,basic_6y,married,basic_6y,False,True
17,46,basic_6y,married,basic_6y,False,True
18,50,basic_9y,married,basic_9y,False,True
19,39,basic_9y,single,basic_9y,False,False
20,30,high_school,married,high_school,False,False
21,55,basic_4y,married,basic_4y,False,True
22,55,high_school,single,high_school,False,True
23,41,high_school,single,high_school,False,True
24,37,high_school,married,high_school,False,True
25,35,university_degree,married,university_degree,False,False
26,59,,married,,False,True
27,39,basic_9y,married,basic_9y,False,False
28,54,university_degree,single,university_degree,False,False
29,55,university_degree,married,university_degree,False,False
30,46,,married,,False,False
31,59,,married,,False,True
32,49,,married,,False,False
33,54,basic_4y,married,basic_4y,False,True
34,54,basic_4y,divorced,basic_4y,False,False
35,55,basic_4y,married,basic_4y,False,True
36,34,high_school,married,high_school,False,False
37,52,basic_9y,married,basic_9y,False,True
38,41,university_degree,married,university_degree,False,True
39,56,basic_4y,married,basic_4y,False,True
40,58,university_degree,unknown,university_degree,False,True
41,32,high_school,married,high_school,False,True
42,38,professional_course,single,professional_course,False,False
43,57,university_degree,married,university_degree,False,False
44,44,university_degree,married,university_degree,False,True
45,42,professional_course,single,professional_course,False,False
46,57,university_degree,married,university_degree,False,True
47,40,basic_9y,married,basic_9y,False,False
48,35,university_degree,married,university_degree,False,True
49,45,basic_9y,married,basic_9y,False,True
50,54,high_school,married,high_school,False,False
51,39,basic_4y,married,basic_4y,False,False
52,60,high_school,married,high_school,False,False
53,53,professional_course,single,professional_course,False,False
54,55,basic_4y,married,basic_4y,False,False
55,55,professional_course,married,professional_course,False,True
56,50,university_degree,married,university_degree,False,False
57,45,high_school,married,high_school,False,True
58,55,professional_course,married,professional_course,False,True
59,25,university_degree,single,university_degree,False,True
60,47,university_degree,married,university_degree,False,False
61,51,basic_9y,married,basic_9y,False,True
62,42,basic_6y,married,basic_6y,False,True
63,42,basic_6y,married,basic_6y,False,False
64,48,high_school,married,high_school,False,False
65,37,university_degree,married,university_degree,False,False
66,44,basic_9y,single,basic_9y,False,True
67,33,,married,,False,True
68,56,basic_9y,married,basic_9y,False,True
69,44,basic_4y,single,basic_4y,False,True
70,41,basic_6y,married,basic_6y,False,False
71,44,university_degree,divorced,university_degree,False,True
72,47,university_degree,married,university_degree,False,True
73,57,,married,,False,False
74,37,university_degree,married,university_degree,False,True
75,41,basic_4y,divorced,basic_4y,False,True
76,55,university_degree,married,university_degree,False,False
77,33,high_school,married,high_school,False,True
78,55,,married,,False,True
79,42,basic_9y,married,basic_9y,False,False
80,50,basic_4y,married,basic_4y,False,True
81,51,basic_4y,married,basic_4y,False,False
82,38,high_school,married,high_school,False,False
